id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PSMB6	4	6.9788e-06	2.122e-05	0.150578	1	4	-2.7589	0.99999	1.0	1.0	19362	0	-2.7589
XRN1	4	8.4811e-06	2.7356e-05	0.150578	2	3	-1.572	0.7453	0.74482	1.0	14073	0	-1.572
PFDN5	4	1.05e-05	3.5026e-05	0.150578	3	4	-1.9951	0.99997	0.99997	1.0	19356	0	-1.9951
GTF2H1	4	1.4612e-05	5.3435e-05	0.150578	4	4	-1.4297	0.99999	0.99999	1.0	19361	0	-1.4297
VPS52	4	1.5003e-05	5.4969e-05	0.150578	5	4	-1.8373	0.97445	0.97439	1.0	18537	0	-1.8373
RBCK1	4	1.557e-05	5.548e-05	0.150578	6	3	-3.0325	0.70583	0.70509	1.0	13346	0	-3.0325
RUVBL2	4	1.9704e-05	7.2865e-05	0.150578	7	4	-1.9731	0.99998	0.99998	1.0	19360	0	-1.9731
DMRT2	4	2.3327e-05	8.7183e-05	0.150578	8	3	-2.4428	0.74343	0.74293	1.0	14037	0	-2.4428
ORC3	4	2.5535e-05	9.2807e-05	0.150578	9	4	-1.724	0.99997	0.99997	1.0	19359	0	-1.724
EMC7	4	2.5582e-05	9.2807e-05	0.150578	10	4	-2.3163	0.99997	0.99997	1.0	19358	0	-2.3163
EXOSC2	4	2.5741e-05	9.3319e-05	0.150578	11	3	-1.6415	0.93092	0.93068	1.0	17639	0	-1.6415
RPF1	4	2.6008e-05	9.3319e-05	0.150578	12	3	-1.2271	0.68701	0.68636	1.0	12980	0	-1.2271
TXNL4B	4	2.8414e-05	0.00010406	0.151485	13	4	-2.018	0.99997	0.99997	1.0	19357	0	-2.018
PARVA	4	3.2398e-05	0.00011531	0.151485	14	3	-2.428	0.99997	0.99997	1.0	19355	0	-2.428
CTDNEP1	4	3.3318e-05	0.00011735	0.151485	15	3	-1.4094	0.83894	0.83822	1.0	15870	0	-1.4094
RPL4	4	3.6315e-05	0.00013116	0.158725	16	4	-2.9701	0.99896	0.99896	1.0	19267	0	-2.9701
PRIM1	4	4.0987e-05	0.0001511	0.160891	17	4	-1.7702	0.99812	0.99815	1.0	19225	0	-1.7702
