id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
INTS12	4	1.071e-06	3.3237e-06	0.064356	1	3	-1.6879	0.65796	0.65737	0.999538	12683	1	-1.6879
PRMT7	4	1.147e-05	3.8606e-05	0.311881	2	4	-2.8922	0.97519	0.97514	0.999538	18857	0	-2.8922
MTMR11	4	1.2823e-05	4.8321e-05	0.311881	3	4	-2.4218	0.99999	0.99999	1.0	19362	0	-2.4218
EFNA3	4	2.6006e-05	9.3319e-05	0.373762	4	3	-1.6916	0.95109	0.95101	0.999538	18376	0	-1.6916
RBM22	4	2.7174e-05	9.7921e-05	0.373762	5	3	-2.6107	0.44323	0.48297	0.999538	9307	1	-2.6107
TNIK	4	3.241e-05	0.00011582	0.373762	6	4	-2.729	0.99243	0.99248	0.999582	19216	0	-2.729
POLR1B	4	4.3541e-05	0.00016184	0.388889	7	3	-1.8365	0.99996	0.99996	1.0	19361	0	-1.8365
CYP8B1	4	4.5094e-05	0.00016644	0.388889	8	4	-1.8703	0.99995	0.99995	1.0	19360	0	-1.8703
NUP93	4	4.8697e-05	0.00018076	0.388889	9	4	-2.6958	0.99395	0.99399	0.999582	19242	0	-2.6958
SLC35B2	4	6.389e-05	0.00023956	0.463861	10	3	-1.9096	0.20701	0.31585	0.999538	6051	1	-1.9096
SLC7A8	4	7.8017e-05	0.0002999	0.527903	11	3	-1.1495	0.94914	0.94907	0.999538	18330	0	-1.1495
SLC15A4	4	8.9327e-05	0.00033825	0.545792	12	3	-1.8211	0.7967	0.79633	0.999538	15385	0	-1.8211
PDF	4	0.00011258	0.00042773	0.637091	13	3	-1.9568	0.63969	0.63977	0.999538	12340	1	-1.9568
GAL3ST1	4	0.00013003	0.00050188	0.69413	14	2	-0.75659	0.6654	0.66482	0.999538	12839	0	-0.75659
SMYD2	4	0.00014035	0.00053869	0.69538	15	4	-1.8911	0.99986	0.99986	1.0	19359	0	-1.8911
SUOX	4	0.00018203	0.00069107	0.787804	16	4	-0.86932	0.97038	0.97032	0.999538	18771	0	-0.86932
TP53TG3D	4	0.00020013	0.00075857	0.787804	17	4	-1.939	0.9998	0.9998	1.0	19358	0	-1.939
USP32	4	0.00020883	0.00078925	0.787804	18	2	-1.4323	0.084925	0.15884	0.999538	3045	1	-1.4323
B3GALNT1	4	0.00023404	0.00087924	0.787804	19	2	-0.34165	0.16154	0.2577	0.999538	4946	2	-0.34165
CHAF1A	4	0.00023518	0.00088333	0.787804	20	3	-2.6395	0.32237	0.40591	0.999538	7779	1	-2.6395
FXYD3	4	0.00023615	0.0008864	0.787804	21	2	-1.5993	0.25007	0.36497	0.999538	6950	1	-1.5993
RPS27	4	0.00023885	0.00089509	0.787804	22	4	-2.0704	0.99976	0.99976	1.0	19357	0	-2.0704
ATOH8	4	0.00026086	0.0009723	0.80004	23	4	-2.0958	0.99974	0.99974	1.0	19356	0	-2.0958
PPIA	4	0.00028604	0.0010613	0.80004	24	2	-0.45239	0.61909	0.62069	0.999538	11961	1	-0.45239
RBMXL2	4	0.00030492	0.001128	0.80004	25	4	-2.3954	0.99936	0.99937	1.0	19347	0	-2.3954
TMEM150A	4	0.00033155	0.0012188	0.80004	26	2	-2.2446	0.81764	0.81723	0.999538	15766	0	-2.2446
